GT positions: 192, Colors from testrun: 192

color,x,y
orange,0.054,1.999
orange,-0.054,-1.999
orange,4.609,1.876
orange,4.509,-2.123
blue,9.145,1.772
yellow,9.091,-2.228
blue,13.652,1.753
yellow,13.704,-2.247
blue,18.126,1.887
yellow,18.346,-2.107
yellow,22.556,2.242
yellow,23.006,-1.733
blue,26.924,2.881
yellow,27.659,-1.051
yellow,31.206,3.857
yellow,32.267,0.0
blue,35.372,5.203
yellow,36.777,1.457
blue,39.389,6.926
yellow,41.139,3.329
blue,43.209,9.013
yellow,45.318,5.614
blue,46.736,11.477
yellow,49.261,8.374
blue,49.794,14.351
yellow,52.831,11.748
blue,52.083,17.656
yellow,55.695,15.937
blue,53.178,21.359
yellow,57.155,20.935
blue,52.88,25.265
yellow,56.794,26.088
blue,51.503,29.111
blue,55.121,30.817
blue,49.345,32.706
yellow,52.597,35.035
yellow,46.604,35.936
yellow,49.444,38.753
blue,43.396,38.7
yellow,45.749,41.935
blue,39.784,40.898
yellow,41.579,44.473
blue,35.855,42.484
yellow,37.06,46.298
blue,31.711,43.446
yellow,32.328,47.398
yellow,27.457,43.791
yellow,27.499,47.791
blue,23.188,43.534
yellow,22.671,47.501
blue,18.987,42.686
yellow,17.939,46.546
blue,14.905,41.28
yellow,13.402,44.987
blue,10.949,39.419
yellow,9.107,42.97
blue,7.1,37.224
yellow,5.033,40.649
blue,3.318,34.812
yellow,1.126,38.158
blue,-0.422,32.296
yellow,-2.701,35.583
yellow,-4.056,29.701
yellow,-6.488,32.877
blue,-7.439,26.93
yellow,-10.155,29.867
blue,-10.387,23.869
yellow,-13.52,26.356
blue,-12.629,20.434
yellow,-16.237,22.16
blue,-13.883,16.593
yellow,-17.809,17.36
yellow,-14.165,12.487
yellow,-18.164,12.386
blue,-13.655,8.306
yellow,-17.578,7.523
yellow,-12.5,4.193
yellow,-16.271,2.861
blue,-10.803,0.242
yellow,-14.373,-1.563
blue,-8.626,-3.468
blue,-11.936,-5.713
blue,-5.987,-6.863
yellow,-8.982,-9.515
blue,-2.927,-9.9
yellow,-5.574,-12.899
blue,0.49,-12.576
blue,-1.815,-15.845
blue,4.188,-14.912
yellow,2.194,-18.38
blue,8.1,-16.949
yellow,6.37,-20.556
blue,12.159,-18.734
yellow,10.658,-22.441
blue,16.316,-20.276
yellow,15.051,-24.071
blue,20.549,-21.532
yellow,19.56,-25.408
blue,24.844,-22.452
yellow,24.181,-26.397
blue,29.18,-22.983
yellow,28.895,-26.973
yellow,33.525,-23.073
yellow,33.664,-27.071
yellow,37.844,-22.681
yellow,38.423,-26.639
blue,42.102,-21.816
yellow,43.099,-25.69
blue,46.259,-20.514
yellow,47.642,-24.268
blue,50.273,-18.805
yellow,52.017,-22.405
blue,54.101,-16.714
blue,56.189,-20.126
blue,57.703,-14.259
yellow,60.121,-17.445
blue,61.035,-11.452
yellow,63.761,-14.379
blue,64.078,-8.32
yellow,67.072,-10.973
blue,66.833,-4.908
yellow,70.045,-7.291
blue,69.309,-1.265
yellow,72.696,-3.393
blue,71.528,2.565
yellow,75.049,0.667
blue,73.513,6.536
yellow,77.141,4.852
blue,75.261,10.608
yellow,78.99,9.16
blue,76.712,14.764
yellow,80.543,13.614
yellow,77.781,18.989
yellow,81.708,18.228
blue,78.363,23.251
yellow,82.355,22.997
blue,78.332,27.487
yellow,82.314,27.871
blue,77.562,31.612
yellow,81.412,32.699
blue,76.051,35.552
yellow,79.666,37.265
blue,73.927,39.264
yellow,77.266,41.465
blue,71.32,42.717
yellow,74.384,45.289
blue,68.341,45.908
yellow,71.142,48.764
blue,65.071,48.842
blue,67.627,51.92
blue,61.57,51.528
yellow,63.893,54.785
yellow,57.883,53.967
yellow,59.975,57.376
blue,54.038,56.151
yellow,55.891,59.696
blue,50.053,58.06
yellow,51.652,61.727
blue,45.946,59.679
yellow,47.276,63.451
blue,41.733,60.996
yellow,42.786,64.855
blue,37.435,62.002
yellow,38.205,65.927
blue,33.074,62.696
yellow,33.561,66.666
blue,28.672,63.077
yellow,28.878,67.072
blue,24.252,63.151
yellow,24.181,67.15
blue,19.836,62.92
yellow,19.49,66.905
yellow,15.448,62.385
yellow,14.826,66.337
blue,11.111,61.546
blue,10.211,65.443
blue,6.848,60.4
yellow,5.668,64.222
blue,2.685,58.946
yellow,1.222,62.669
blue,-1.348,57.18
yellow,-3.097,60.777
blue,-5.222,55.102
yellow,-7.258,58.545
blue,-8.902,52.712
yellow,-11.225,55.969
blue,-12.356,50.016
yellow,-14.958,53.054
blue,-15.546,47.023
yellow,-18.416,49.809
blue,-18.501,43.675
yellow,-21.499,46.325
